Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h),price_pounds
Opel Combo-e Life 50 kWh,46.3,135,205,226,330,34085.00
Audi Q4 Sportback e-tron 45 quattro,76.6,180,400,192,570,
Peugeot e-Traveller Long 75 kWh,68,130,260,262,280,
Porsche Taycan 4S Cross Turismo,83.7,240,440,190,1080,95200.00
Kia e-Soul 39.2 kWh,39.2,157,230,170,200,32845.00
Peugeot e-Expert Combi Standard 75 kWh,68,130,265,257,290,
Mercedes eVito Tourer Extra-Long 90 kWh,90,160,305,295,310,83850.00
Porsche Taycan Turbo S Sport Turismo,83.7,260,395,212,970,149300.00
Porsche Taycan Turbo S Cross Turismo,83.7,250,410,204,1010,149300.00
Mercedes EQV 250 Long,60,160,210,286,200,
Mercedes EQV 300 Extra-Long,90,160,310,290,310,
Mercedes EQA 300 4MATIC,66.5,160,355,187,510,53000.00
Citroen e-Jumpy Combi M 75 kWh,68,130,265,257,290,
Abarth 500e Hatchback,37.8,155,225,168,370,34195.00
Porsche Taycan GTS Sport Turismo,83.7,250,425,197,1050,111200.00
Mercedes EQE 350 4MATIC,89,210,475,187,600,
NIO EL6 75 kWh,70.5,200,350,201,470,
Citroen e-Berlingo XL 50 kWh,46.3,135,205,226,330,33315.00
Genesis GV60 Sport Plus,74,235,365,203,950,67505.00
Mercedes EQE SUV AMG 43 4MATIC,90.6,210,415,218,620,
Peugeot e-Traveller Standard 50 kWh,46.3,130,185,250,290,42785.00
Opel Zafira-e Life L 75 kWh,68,130,260,262,280,
Porsche Taycan Sport Turismo,71,230,380,187,930,80200.00
Citroen e-SpaceTourer M 50 kWh,46.3,130,185,250,290,37045.00
Mercedes EQE 350,89,210,510,175,640,77345.00
Fiat E-Ulysse L3 75 kWh,68,130,260,262,280,
VinFast VF 8 Eco Extended Range,87.7,200,425,206,550,
Porsche Taycan Turbo,83.7,260,445,188,1090,125800.00
Porsche Taycan Plus Sport Turismo,83.7,230,445,188,1090,84654.00
Peugeot e-Expert Combi Long 75 kWh,68,130,260,262,280,
Opel Combo-e Life XL 50 kWh,46.3,135,200,232,320,34685.00
VinFast VF 8 Eco Standard Range,82,200,405,202,560,
Toyota PROACE Shuttle M 75 kWh,68,130,265,257,290,
Opel Zafira-e Life M 50 kWh,46.3,130,185,250,290,42735.00
Abarth 500e Convertible,37.8,155,225,168,370,37195.00
Porsche Taycan 4S Sport Turismo,71,250,370,192,910,91700.00
Fiat 500e Cabrio 24 kWh,21.3,135,135,158,230,
Mercedes EQE AMG 43 4MATIC,90.6,210,465,195,690,
Opel Vivaro-e Combi M 50 kWh,46.3,130,185,250,290,36995.00
Mercedes eVito Tourer Long 60 kWh,60,160,210,286,310,
NIO EL7 75 kWh,70.5,200,340,207,460,
Mercedes EQE 500 4MATIC,90.6,210,485,187,720,
Citroen e-SpaceTourer M 75 kWh,68,130,265,257,290,
Porsche Taycan Turbo Sport Turismo,83.7,260,405,207,1000,126800.00
VinFast VF 8 Plus Extended Range,87.7,200,425,206,550,
Toyota PROACE Shuttle M 50 kWh,46.3,130,185,250,290,
Citroen e-SpaceTourer XL 75 kWh,68,130,260,262,280,
Mercedes eVito Tourer Extra-Long 60 kWh,60,160,205,293,300,
Mercedes EQE AMG 53 4MATIC+,90.6,220,465,195,690,
Fiat E-Ulysse L2 75 kWh,68,130,265,257,290,
Opel Zafira-e Life L 50 kWh,46.3,130,180,257,290,43575.00
Opel Vivaro-e Combi L 75 kWh,68,130,260,262,280,
Peugeot e-Traveller Standard 75 kWh,68,130,265,257,290,
Citroen e-Jumpy Combi M 50 kWh,46.3,130,185,250,290,
Porsche Taycan 4S Plus Sport Turismo,83.7,250,430,195,1060,95996.00
Mercedes EQV 250 Extra-Long,60,160,210,286,200,
Citroen e-SpaceTourer XL 50 kWh,46.3,130,180,257,290,37885.00
Fiat E-Ulysse L3 50 kWh,46.3,130,180,257,290,
Porsche Taycan Turbo Cross Turismo,83.7,250,425,197,1050,126800.00
Toyota PROACE Shuttle L 75 kWh,68,130,260,262,280,
Opel Zafira-e Life M 75 kWh,68,130,265,257,290,
Opel Vivaro-e Combi L 50 kWh,46.3,130,180,257,290,37835.00
Toyota PROACE Shuttle L 50 kWh,46.3,130,180,257,290,
Citroen e-Jumpy Combi XL 75 kWh,68,130,260,262,280,
Fiat E-Ulysse L2 50 kWh,46.3,130,185,250,290,
Peugeot e-Expert Combi Standard 50 kWh,46.3,130,185,250,290,
Peugeot e-Traveller Long 50 kWh,46.3,130,185,250,290,43625.00
Citroen e-Jumpy Combi XL 50 kWh,46.3,130,180,257,290,
Peugeot e-Expert Combi Long 50 kWh,46.3,130,185,250,290,
