Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h),price_pounds,Clusters
Volkswagen ID.5 Pro,77.0,160,430,179,660,50710.0,0
Mercedes EQE SUV 350 4MATIC,90.6,210,435,208,650,90560.0,3
Peugeot e-308 SW,50.8,150,300,169,450,38000.0,2
Mercedes EQS 450 4MATIC,107.8,210,605,178,900,50830.0,0
Audi SQ8 e-tron,106.0,210,455,233,570,97500.0,3
Skoda Enyaq iV 50,52.0,160,305,170,250,50830.0,2
XPENG P7 RWD Long Range,82.7,200,495,167,690,50830.0,0
CUPRA Tavascan VZ,77.0,180,410,188,610,55000.0,0
Lucid Air Dream Edition P,118.0,270,665,177,840,50830.0,3
Mercedes EQS AMG 53 4MATIC+,107.8,250,540,200,810,161860.0,3
Volvo C40 Recharge Twin Motor,79.0,180,400,198,600,53605.0,0
Nissan Ariya 63kWh,63.0,160,335,188,450,39645.0,2
Lucid Air Grand Touring,112.0,270,665,168,840,50830.0,3
Volvo EX90 Twin Motor,107.0,180,465,230,610,96255.0,3
Peugeot e-208 51 kWh,48.1,150,310,155,480,35000.0,2
Opel Corsa Electric 51 kWh,48.1,150,315,153,490,35475.0,2
Renault Megane E-Tech EV40 130hp,40.0,150,260,154,370,50830.0,2
ORA Funky Cat 48 kWh,45.4,160,260,175,240,31995.0,2
Honda e Advance,28.5,145,170,168,180,37395.0,2
Opel Astra Sports Tourer Electric,50.8,170,300,169,480,42000.0,2
Lotus Eletre R,109.0,260,455,240,950,120000.0,3
Mercedes EQA 350 4MATIC,66.5,160,350,190,500,54510.0,2
VinFast VF 9 Extended Range,123.0,200,520,237,520,50830.0,0
Mercedes EQA 250+,70.5,160,425,166,590,50000.0,0
Mercedes EQE AMG 43 4MATIC,90.6,210,465,195,690,50830.0,0
Volkswagen ID.4 Pure Performance,52.0,160,285,182,360,40275.0,2
Kia EV6 Standard Range 2WD,54.0,185,305,177,750,50830.0,2
Mercedes EQE SUV 500 4MATIC,90.6,210,435,208,650,108760.0,3
Audi Q4 Sportback e-tron 40,76.6,160,425,180,660,52130.0,0
Volvo C40 Recharge Single Motor ER,79.0,180,420,188,630,50830.0,0
Mercedes EQS 500 4MATIC,107.8,210,590,183,880,50830.0,0
Peugeot e-2008 50 kWh,46.3,150,270,171,430,50830.0,2
Hyundai Kona Electric 48 kWh,48.4,160,295,164,280,34995.0,2
Porsche Taycan Plus,83.7,230,485,173,1190,83654.0,3
Mercedes EQA 300 4MATIC,66.5,160,350,190,500,53010.0,2
CUPRA Tavascan Endurance,77.0,180,425,181,630,50000.0,0
Renault Kangoo E-Tech Electric,45.0,132,220,205,230,50830.0,2
Kia EV9 99.8 kWh AWD GT-Line,95.0,200,415,229,750,73245.0,0
Mercedes EQS SUV 450+,108.4,210,500,217,650,50830.0,0
Mini Countryman E,64.7,170,380,170,550,42080.0,2
Smart #3 Brabus,62.0,180,330,188,510,45000.0,2
Ford Mustang Mach-E ER AWD,91.0,180,440,207,390,65405.0,0
Mercedes EQB 350 4MATIC,66.5,160,345,193,500,57000.0,2
Opel Corsa Electric 50 kWh,46.3,150,295,157,470,32445.0,2
MG MG5 Electric Standard Range,46.0,185,265,174,320,50830.0,2
NIO EL7 100 kWh,90.0,200,430,209,450,50830.0,0
XPENG G9 RWD Long Range,94.0,200,470,200,980,50830.0,0
Maserati GranTurismo Folgore,83.0,320,425,195,990,200000.0,3
Zeekr X Long Range RWD,64.0,180,360,178,540,50830.0,2
Zeekr 001 Privilege AWD,94.0,200,500,188,700,50830.0,0
Seres 3,51.0,155,260,196,240,50830.0,2
NIO ET7 100 kWh,90.0,200,505,178,530,50830.0,0
NIO ET5 75 kWh,70.5,200,395,178,530,50830.0,0
Mercedes EQB 250+,70.5,160,410,172,550,50830.0,0
Aiways U5,60.0,150,315,190,380,50830.0,2
Volkswagen ID.5 Pro Performance,77.0,160,430,179,660,52185.0,0
Porsche Taycan GTS,83.7,250,450,186,1110,110200.0,3
Volvo EX90 Twin Motor Performance,107.0,180,450,238,590,100555.0,3
Ford Mustang Mach-E SR RWD,70.0,180,375,187,390,50830.0,2
Lexus UX 300e,64.0,160,340,188,170,47495.0,2
DS 3 E-Tense,50.8,150,300,169,480,37200.0,2
BMW i7 eDrive50,101.7,205,520,196,780,100205.0,3
Volkswagen ID.5 GTX,77.0,180,405,190,560,56545.0,0
Volvo C40 Recharge Single Motor,66.0,180,355,186,430,48355.0,2
Polestar 3 Long Range Performance,107.0,210,470,228,610,85500.0,3
Lucid Air Pure AWD,92.0,200,590,156,990,50830.0,0
Mini Countryman SE ALL4,64.7,180,370,175,530,47180.0,2
Audi Q4 e-tron 45 quattro,76.6,180,385,199,550,50830.0,0
Volkswagen ID.4 Pro 4MOTION,77.0,180,405,190,560,50830.0,0
Audi Q8 e-tron Sportback 50 quattro,89.0,200,445,200,690,70300.0,0
Mercedes EQA 250,66.5,160,405,164,580,48000.0,2
Ford Mustang Mach-E GT,91.0,200,425,214,380,74540.0,0
Porsche Taycan,71.0,230,420,169,1030,79200.0,3
Kia e-Soul 64 kWh,64.0,167,370,173,350,39045.0,2
NIO ET5 Touring 100 kWh,90.0,200,485,186,500,50830.0,0
XPENG G9 AWD Long Range,94.0,200,440,214,920,50830.0,0
ORA Funky Cat 63 kWh,59.3,160,340,174,240,50830.0,2
Genesis GV60 Premium,74.0,185,390,190,1020,53905.0,0
Mercedes EQE 500 4MATIC,90.6,210,485,187,720,50830.0,0
Citroen e-Berlingo M 50 kWh,46.3,135,205,226,330,32315.0,1
Lucid Air Touring,92.0,250,580,159,970,50830.0,0
Smart #1 Pulse,62.0,180,320,194,490,50830.0,2
Mercedes EQE AMG 53 4MATIC+,90.6,220,465,195,690,114750.0,3
Polestar 2 Long Range Performance,79.0,205,420,188,630,57950.0,0
Genesis GV70 Electrified Sport,74.0,235,350,211,860,65105.0,0
Volvo EX90 Single Motor,101.0,180,460,220,600,50830.0,0
Mercedes EQE 350 4MATIC,90.6,210,485,187,720,50830.0,0
Mini Cooper E,37.0,160,235,157,360,30000.0,2
Audi Q4 Sportback e-tron 50 quattro,76.6,180,400,192,570,58510.0,0
Skoda Enyaq Coupe iV 60,58.0,160,355,163,480,50830.0,2
Nissan Ariya e-4ORCE 87kWh - 225 kW,87.0,200,405,215,480,50845.0,0
Fiat 500e 3+1 42 kWh,37.3,150,235,159,390,50830.0,2
Mercedes eVito Tourer Long 90 kWh,90.0,160,310,290,310,76368.0,1
Mercedes EQS SUV 450 4MATIC,108.4,210,490,221,640,129470.0,3
Peugeot e-208 50 kWh,46.3,150,290,160,460,32000.0,2
BMW i7 M70 xDrive,101.7,250,490,208,730,163315.0,3
Citroen e-C4 54 kWh,50.8,150,320,159,460,50830.0,2
Elaris BEO 86 kWh,81.0,150,390,208,290,50830.0,2
Skoda Enyaq iV RS,77.0,180,420,183,580,52670.0,0
BYD SEAL 82.5 kWh RWD Design,82.5,180,500,165,550,44990.0,0
Fiat 500e Hatchback 24 kWh,21.3,135,135,158,230,28195.0,2
NIO ET5 Touring 75 kWh,70.5,200,385,183,520,50830.0,0
Maserati Grecale Folgore,95.0,220,405,235,440,135000.0,3
Mercedes EQE 300,89.0,210,515,173,650,50830.0,0
Skoda Enyaq Coupe iV 80x,77.0,160,450,171,630,52505.0,0
Audi SQ8 e-tron Sportback,106.0,210,480,221,610,100000.0,3
Mercedes EQB 300 4MATIC,66.5,160,345,193,500,55000.0,2
Audi Q4 Sportback e-tron 35,52.0,160,295,176,370,50830.0,2
Porsche Taycan Turbo S,83.7,260,430,195,1060,148300.0,3
NIO EL6 100 kWh,90.0,200,440,205,460,50830.0,0
Genesis G80 Electrified Luxury,82.5,225,440,188,880,69805.0,0
Porsche Taycan 4S Plus,83.7,250,480,174,1180,94996.0,3
VinFast VF 8 Plus Standard Range,82.0,200,400,205,560,50830.0,0
Ford Mustang Mach-E SR AWD,70.0,180,345,203,360,50830.0,2
Fiat 500e Cabrio 42 kWh,37.3,150,230,162,380,34195.0,2
VinFast VF 9 Standard Range,92.0,200,400,230,540,50830.0,0
Opel Vivaro-e Combi M 75 kWh,68.0,130,265,257,290,50830.0,1
Mercedes EQE SUV AMG 53 4MATIC+,90.6,240,410,221,610,133860.0,3
Mini Cooper SE Convertible,28.9,150,165,175,230,52500.0,2
Toyota PROACE Verso L 75 kWh,68.0,130,260,262,280,50830.0,1
ORA Funky Cat GT,59.3,160,330,180,230,50830.0,2
